,Company #,Purchase Order,Item,Vendor,Description,Unit of Measure,Units,Unit Cost,Cost,Phase
934,8,1233-020,1,EMT Management Inc.,S&I fire safety plan as per quote May 4  2016,LS,0.0,0.0,2100.0,10-41-10
935,8,1233-020,2,EMT Management Inc.,Supply fire extinguishers,LS,0.0,0.0,596.7,10-41-10
936,8,1233-021,1,Dick's Lumber,8' STUDS AND 3/4 PLYWOOD ,LS,0.0,0.0,71.84,6/10/1980
937,8,1233-021,2,Dick's Lumber,Sheatting and Screws,LS,0.0,0.0,905.4,6/10/1980
939,8,1233-022,2,Oakmont Industries,Hollow Metal Doors/frames,LS,0.0,0.0,175.0,8/14/2016
940,8,1233-022,3,Oakmont Industries,Hardware,LS,0.0,0.0,1875.0,08-71-10
943,8,1233-022,6,Oakmont Industries,Closet shelving,LS,0.0,0.0,50.0,10-57-23
946,8,1233-022,9,Oakmont Industries,Display Suite Baseboard/window sills,LS,0.0,0.0,405.0,8/14/2016
947,8,1233-022,10,Oakmont Industries,Sanitary Napkin Disposal,LS,0.0,0.0,76.65,10/28/2013
949,8,1233-023,2,Typhon Concrete Cutting and Coring,Cut & remove 330 sq ft asphalt south side,LS,0.0,0.0,1821.0,03-80-11
950,8,1233-024,1,Superior Glass Canada Inc.,S&I 10mm clear glass/anozided channels Room 208,LS,0.0,0.0,2142.0,10/28/2020
952,8,1233-025,1,A&B Tool Rentals Ltd,rental of bushhammer ,LS,0.0,0.0,962.25,01-52-25
953,8,1233-025,2,A&B Tool Rentals Ltd,chisel & drill rental,LS,0.0,0.0,179.25,01-52-25
954,8,1233-026,1,Hazmasters Inc.,safety supplies ,LS,0.0,0.0,156.29,01-52-17
955,8,1233-026,2,Hazmasters Inc.,site safety supplies,LS,0.0,0.0,108.86,01-52-17
956,8,1233-026,3,Hazmasters Inc.,Gloves,LS,0.0,0.0,30.48,01-52-17
957,8,1233-026,4,Hazmasters Inc.,site supplies,LS,0.0,0.0,615.84,01-52-23
961,8,1233-028,4,Burnaby Blacktop Ltd.,Seal only south side parking lot entrance,LS,0.0,0.0,1865.0,32-14-50
963,8,1233-029,2,Typhon Concrete Cutting and Coring,Prep for concrete curbing ,LS,0.0,0.0,2186.0,32-14-50
964,8,1233-029,3,Typhon Concrete Cutting and Coring,Excavation for paver area,LS,0.0,0.0,585.0,32-14-50
965,8,1233-029,4,Typhon Concrete Cutting and Coring,Move material at side of bldg - dispose of,LS,0.0,0.0,680.0,32-14-50
966,8,1233-030,1,Heritage Office Furnishings Ltd.,Supply white board,LS,0.0,0.0,742.94,10/28/2013
967,8,1233-031,1,A&B Tool Rentals Ltd,rentals of heaters and propane and dehummitfire ,LS,0.0,0.0,477.54,01-51-23
968,8,1233-031,2,A&B Tool Rentals Ltd,Heater & dehumidifier rental,LS,0.0,0.0,1128.74,01-51-23
969,8,1233-032,1,Metro Printers,"Supply one roll of 48"" x 900' paper",LS,0.0,0.0,123.64,01-52-23
970,8,1233-033,1,Shirbo Sandblasting,Sandblast north stairs as per quote,LS,0.0,0.0,1600.0,32-16-23
971,8,1233-034,1,A&B Tool Rentals Ltd,scaffold rental to work with out lifts,LS,0.0,0.0,378.0,01-52-23
974,8,1233-036,2,White Knight Janitorial Services Inc.,Final cleaning of windows - exterior,LS,0.0,0.0,475.0,09-99-20
975,8,1233-036,3,White Knight Janitorial Services Inc.,Additional cleaning as directed on site,LS,0.0,0.0,1314.65,09-99-10
976,8,1233-037,1,Super Save Fence Rentals Inc,Delivery/removal charge 500 ft,LS,0.0,0.0,157.5,01-56-26
977,8,1233-037,2,Super Save Fence Rentals Inc,Set up/teardown 500 ft,LS,0.0,0.0,952.0,01-56-26
978,8,1233-037,3,Super Save Fence Rentals Inc,Rental 07/22 - 07/31,LS,0.0,0.0,63.22,01-56-26
979,8,1233-037,4,Super Save Fence Rentals Inc,Rental 08/01 - 08/31,LS,0.0,0.0,274.4,01-56-26
980,8,1233-037,5,Super Save Fence Rentals Inc,Add'l 200ft fence Rental 07/25 - 07/31,LS,0.0,0.0,17.71,01-56-26
981,8,1233-037,6,Super Save Fence Rentals Inc,Fence rental 09/01 - 09/30/16,LS,0.0,0.0,245.0,01-56-26
984,8,1233-039,2,Typhon Concrete Cutting and Coring,Additional trucking; remove brush/debris,LS,0.0,0.0,960.0,32-14-50
985,8,1233-039,3,Typhon Concrete Cutting and Coring,Clean asphalt; light standard; clean north side,LS,0.0,0.0,1720.0,32-16-23
986,8,1233-040,1,Dion Custom Metal Fabrication & Design Ltd.,Repair main gate,LS,0.0,0.0,495.0,32-14-50
987,8,1233-041,1,Oakmont Industries,Supply base for Display Centre,LS,0.0,0.0,1183.35,08-81-20
988,8,1233-041,2,Oakmont Industries,Openings/Doors/Windows,LS,0.0,0.0,82.65,08-81-20
989,8,1233-041,3,Oakmont Industries,Supply astragal - north door,LS,0.0,0.0,90.0,08-71-10
991,8,1233-042,2,Superior Glass Canada Inc.,shop drawings,LS,0.0,0.0,393.0,08-81-20
993,8,1233-044,1,Typhon Concrete Cutting and Coring,Cut & pile concrete - quote 1045,LS,0.0,0.0,350.0,32-93-50
994,8,1233-044,2,Typhon Concrete Cutting and Coring,Place and finish concrete,LS,0.0,0.0,569.0,32-93-50
995,8,1233-045,1,Vision West Products Ltd.,Supply 4 washroom mirrors,LS,0.0,0.0,725.0,08-83-13
996,8,1233-046,1,Ange's Plumbing Ltd.,Clear plugged drain ,LS,0.0,0.0,140.0,22-10-20
997,8,1233-047,1,Ange's Plumbing Ltd.,4 open grid & 1 offset open grid PO's,LS,0.0,0.0,280.65,22-40-15
998,8,1233-048,1,Vision West Products Ltd.,Trim one slider/caulk at all frames,LS,0.0,0.0,1365.0,07-92-10
1000,8,1233-050,1,Columbia Seal Ltd,Caulk all tubs/toilets/wall to floor tile Display Suites,LS,0.0,0.0,600.0,07-92-10
1001,8,1233-050,2,Columbia Seal Ltd,Caulk toilets/schluter at top of tile - Public Washooms,LS,0.0,0.0,107.3,07-92-10
1005,8,1233-054,1,Vision West Products Ltd.,S&I model table glass,LS,0.0,0.0,1450.0,08-81-20
1007,8,1243-01,2,PrecisionWerkz Inc.,808 W Hastings - chair rails,LS,0.0,0.0,1140.0,06-46-23
1010,8,1243-01,5,PrecisionWerkz Inc.,1199 West Pender - repair existing chair rails,LS,0.0,0.0,980.0,06-46-23
1013,8,1243-03,1,Robertson Walls & Ceilings,Demolition,LS,0.0,0.0,1950.0,02-41-20
1014,8,1243-03,2,Robertson Walls & Ceilings,Backing,LS,0.0,0.0,1300.0,6/10/1980
1021,8,1243-06,2,PrecisionWerkz Inc.,Chair rail repair/move desk/cabinet,LS,0.0,0.0,980.0,06-46-23
1027,8,1243-11,1,Pomeroy Restoration & Construction (BC) Inc.,"S&I 5.5"" base 688 West Hastings",LS,0.0,0.0,0.0,06-46-18
1028,8,1243-12,1,Ino-Tek Electric Ltd.,Electrical work as requested - T&M 61820,LS,0.0,0.0,1941.17,26-80-10
1029,8,1243-12,2,Ino-Tek Electric Ltd.,61821,LS,0.0,0.0,441.0,26-80-10
1030,8,1243-12,3,Ino-Tek Electric Ltd.,61900,LS,0.0,0.0,281.0,26-80-10
1031,8,1243-12,4,Ino-Tek Electric Ltd.,61901,LS,0.0,0.0,643.0,26-80-10
1032,8,1243-12,5,Ino-Tek Electric Ltd.,61906,LS,0.0,0.0,589.57,26-80-10
1033,8,1243-12,6,Ino-Tek Electric Ltd.,61946,LS,0.0,0.0,468.88,26-80-10
1034,8,1243-13,1,Rising Shine Cleaning,1199 West Pender,LS,0.0,0.0,835.0,01-74-23
1035,8,1243-13,2,Rising Shine Cleaning,688 West Hastings,LS,0.0,0.0,710.0,01-74-23
1036,8,1243-13,3,Rising Shine Cleaning,808 West Hastings,LS,0.0,0.0,820.0,09-99-10
1037,8,1243-13,4,Rising Shine Cleaning,1168 West Cordova,LS,0.0,0.0,925.0,09-99-10
1038,8,1243-13,5,Rising Shine Cleaning,1199 West Pender Additional cleanign,LS,0.0,0.0,278.0,09-99-10
1039,8,1243-14,1,Ino-Tek Electric Ltd.,S&I power/fixture ,LS,0.0,0.0,935.0,26-80-10
1040,8,1243-15,1,Sandbox Sign Group Inc.,Decals 808 West Hastings,LS,0.0,0.0,404.76,09-91-40
1041,8,1243-15,2,Sandbox Sign Group Inc.,Decals 1199 West Pender,LS,0.0,0.0,592.54,09-91-40
1042,8,1243-15,3,Sandbox Sign Group Inc.,Decals 688 WEst Hastings,LS,0.0,0.0,721.13,09-91-40
1044,8,1243-16,2,Ino-Tek Electric Ltd.,S&I pot lights - hallway,LS,0.0,0.0,2181.47,26-80-10
1045,8,1243-16,3,Ino-Tek Electric Ltd.,Audio cable and plug - reception desk,LS,0.0,0.0,185.0,26-80-10
1047,8,1248-0002,1,Ange's Plumbing Ltd.,Disconnect and cap heating system,LS,0.0,0.0,1209.94,02-41-20
1048,8,1248-0002,2,Ange's Plumbing Ltd.,Install Temp Toilet,LS,0.0,0.0,161.14,01-52-19
1051,8,1248-0005,1,Home Depot,Misc. Items for Site Setup,LS,0.0,0.0,89.42,01-52-22
1053,8,1248-0006,2,Hi Beam Contractors Ltd.,Engineering if required,LS,0.0,0.0,2000.0,9/21/2010
1054,8,1248-0006,3,Hi Beam Contractors Ltd.,Repair existing walls,LS,0.0,0.0,1820.22,9/21/2010
1055,8,1248-0006,4,Hi Beam Contractors Ltd.,Changes per Revised IFC,LS,0.0,0.0,2164.0,9/21/2010
1056,8,1248-0006,5,Hi Beam Contractors Ltd.,Changes to Suite per Site Instruction,LS,0.0,0.0,1927.65,9/21/2010
1058,8,1248-0007,2,Ino-Tek Electric Ltd.,Option to Add LED Track Light Lamps,LS,0.0,0.0,775.0,26-80-10
1059,8,1248-0007,3,Ino-Tek Electric Ltd.,Option to RE&RE Exit Signs,EA,0.0,95.0,0.0,26-80-10
1060,8,1248-0007,4,Ino-Tek Electric Ltd.,Option to RE&RE (relocate) Exit Signs,EA,0.0,145.0,0.0,26-80-10
1061,8,1248-0007,5,Ino-Tek Electric Ltd.,Raising of the Track Lights,LS,0.0,0.0,1248.0,26-80-10
1062,8,1248-0008,1,Advanced Mobile First Aid & Safety Inc.,Tongs,LS,0.0,0.0,29.97,01-52-16
1063,8,1248-0008,2,Advanced Mobile First Aid & Safety Inc.,Sharps Container,LS,0.0,0.0,59.95,01-52-16
1064,8,1248-0008,3,Advanced Mobile First Aid & Safety Inc.,Respirators,LS,0.0,0.0,22.66,01-52-16
1066,8,1248-0009,2,A&B Tool Rentals Ltd,Delivery/Removal,EA,2.0,55.0,110.0,01-54-31
1067,8,1248-0009,3,A&B Tool Rentals Ltd,Environmental Fee,LSU,1.0,6.0,6.0,01-54-31
1069,8,1248-0010,1,Mavius Glass & Aluminum,Replace 4 panes of glass damaged by graffiti,LS,0.0,0.0,1500.0,08-88-70
1070,8,1248-0010,2,Mavius Glass & Aluminum,Rush Order,LS,0.0,0.0,150.0,08-88-70
1071,8,1248-0010,3,Mavius Glass & Aluminum,Dumping Fee,LS,0.0,0.0,35.0,08-88-70
1072,8,1248-0011,1,Seneca Building Maintenance Ltd.,Labour for window glass and frame cleaning,LS,0.0,0.0,1056.0,09-99-11
1076,8,1248-0012,4,Sterling Floor & Tile,Extra Row of Tile at Tub Surround,LS,0.0,0.0,362.17,9/30/2010
1077,8,1248-0012,5,Sterling Floor & Tile,Re & Re Carpet Tiles,LS,0.0,0.0,312.5,09-60-10
1079,8,1248-0013,2,Oakmont Industries,Option to add: Moulding (Baseboard and Casing),LS,0.0,0.0,570.0,06-46-13
1080,8,1248-0013,3,Oakmont Industries,Bathroom Hardware,LS,0.0,0.0,980.0,10/28/2016
1083,8,1248-0014,3,Veritas Millwork,Video Wall,LS,0.0,0.0,758.77,6/22/2010
1091,8,1248-0014,11,Veritas Millwork,Upgrade Plywood Flooring - C to A,LS,0.0,0.0,192.6,6/22/2010
1092,8,1248-0014,12,Veritas Millwork,Approved Changes - Excluding Plywood Flooring,LS,0.0,0.0,329.14,6/22/2010
1096,8,1248-0016,2,Ange's Plumbing Ltd.,Added Sink & Faucet,LS,0.0,0.0,942.15,22-80-10
1099,8,1248-0017,3,New York Painting,Additional Repainting for Trade Damage,LS,0.0,0.0,693.0,09-91-10
1114,8,1248-0020,1,Home Depot,Floor mat,EA,1.0,19.97,19.97,01-52-22
1115,8,1248-0020,2,Home Depot,Garbage bags,EA,1.0,19.45,19.45,01-74-13
1116,8,1248-0020,3,Home Depot,Temp bathroom door,EA,1.0,117.0,117.0,8/14/2011
1117,8,1248-0020,4,Home Depot,Temp bathroom door hardware,EA,1.0,21.98,21.98,08-71-11
1118,8,1248-0021,1,Doug's Rubbish Removal (2012) Ltd.,Garbage Pickup  4 bags,LS,0.0,0.0,760.0,01-74-13
1119,8,1248-0022,1,Tucuvan Construction Ltd - DO NOT USE,Foreman (Ricardo),HRS,20.0,47.0,940.0,6/10/1980
1120,8,1248-0022,2,Tucuvan Construction Ltd - DO NOT USE,Apprentice (Leo and Quidberto),HRS,21.0,45.0,945.0,6/10/1980
1121,8,1248-0022,3,Tucuvan Construction Ltd - DO NOT USE,Material + Delivery,LS,0.0,0.0,1699.09,6/10/1980
1124,8,1248-0023,3,BA Blacktop Ltd.,Extra Time for working round poles,LS,0.0,0.0,1253.71,32-14-23
1127,8,1248-0025,2,Midland Appliance Distributors Ltd.,PST on Display Suite Appliance Package,LS,0.0,0.0,438.47,11-31-10
1128,8,1248-0025,3,Midland Appliance Distributors Ltd.,Staff Fridge,LS,0.0,0.0,872.6,11-31-10
1129,8,1248-0025,4,Midland Appliance Distributors Ltd.,PST on Staff Fridge,LS,0.0,0.0,59.58,11-31-10
1130,8,1248-0026,1,Mini-Load Disposal Ltd.,Garbage Removal,LS,0.0,0.0,340.0,01-74-13
1131,8,1248-0026,2,Mini-Load Disposal Ltd.,Garbage Removal - Residential Bldg.,LS,0.0,0.0,495.0,01-74-13
1132,8,1248-0026,3,Mini-Load Disposal Ltd.,Garbage Removal - Residential Bldg.,LS,0.0,0.0,495.0,01-74-13
1133,8,1248-0027,1,Premium Springs Water Company Inc.,Water Bottle,EA,0.0,7.5,0.0,01-51-36
1134,8,1248-0027,2,Premium Springs Water Company Inc.,Water Bottle Deposit,EA,0.0,10.0,0.0,01-51-36
1136,8,1248-0029,1,TLD CustomWorks,Audio System,LS,0.0,0.0,2274.8,27-41-10
1137,8,1248-0029,2,TLD CustomWorks,Audio Systems - Install,LS,0.0,0.0,600.0,27-41-10
1140,8,1248-0029,5,TLD CustomWorks,Display Suite TV,LS,0.0,0.0,968.5,27-41-10
1141,8,1248-0029,6,TLD CustomWorks,Display Suite TV - Install,LS,0.0,0.0,250.0,27-41-10
1142,8,1248-0030,1,Davey Tree Expert Co. of Canada Ltd.,Tree Pruning,LS,0.0,0.0,340.0,31-13-16
1144,8,1248-0031,2,Quarterhorse Solutions,Signage & Graphics - Additional Site Install,LS,0.0,0.0,925.0,10/14/1970
1145,8,1248-0032,1,A&B Tool Rentals Ltd,Ladder,LS,0.0,0.0,22.5,01-52-25
1146,8,1248-0033,1,TLD CustomWorks,Staff Wireless Network,LS,0.0,0.0,305.16,27-41-10
1147,8,1248-0033,2,TLD CustomWorks,Staff Wireless Network - Install,LS,0.0,0.0,180.0,27-41-10
1148,8,1248-0034,1,Tucuvan Construction Ltd - DO NOT USE,Labour to install Finished Carpentry Work,LS,0.0,0.0,1620.0,06-46-40
1149,8,1248-0038,1,A&B Tool Rentals Ltd,Scissor Lift Rental,LS,0.0,0.0,546.0,01-54-31
1150,8,1248-0039,1,A&B Tool Rentals Ltd,Vacuum Rental,LS,0.0,0.0,123.0,01-52-25
1151,8,1248-0040,1,A&B Tool Rentals Ltd,Vacuum Rental,LS,0.0,0.0,247.98,01-52-25
1152,8,1248-0040,2,A&B Tool Rentals Ltd,Vacuum Rental ,LS,0.0,0.0,45.0,01-52-25
1153,8,1248-0041,1,A&B Tool Rentals Ltd,Ladder Rental,LS,0.0,0.0,90.0,01-52-25
1154,8,1248-0042,1,A&B Tool Rentals Ltd,Heater Rental,LS,0.0,0.0,165.0,01-51-24
1155,8,1248-0042,2,A&B Tool Rentals Ltd,Fan Rental,LS,0.0,0.0,169.5,01-51-24
1156,8,1248-0042,3,A&B Tool Rentals Ltd,Fuel - Propane,LS,0.0,0.0,180.68,01-51-24
1158,8,1248-0044,1,A&B Tool Rentals Ltd,Ladder Rental,LS,0.0,0.0,39.38,01-52-25
1159,8,1248-0045,1,A&B Tool Rentals Ltd,Heat Gun,LS,0.0,0.0,22.5,01-52-25
1160,8,1248-0046,1,Mavius Glass & Aluminum,Miscellaneous Glazing,LS,0.0,0.0,2077.93,08-88-70
1161,8,1248-0047,1,Havana Window Blinds & Closets Inc.,Blinds to Show Suite,LS,0.0,0.0,697.9,12/21/2023
1162,8,1248-0048,1,LBC Painting Ltd.,Touchup painting,LS,0.0,0.0,495.0,09-91-23
1163,8,1248-0049,1,ScanWest Coring,Coring for Front Desk,LS,0.0,0.0,1081.7,03-80-11
1164,8,1248-0050,1,Divert Millwork,Sliding Doors Pocket Wall Panel,LS,0.0,0.0,198.0,6/22/2010
1165,8,1248-0051,1,Pit Stop Portable Toilet Service Ltd BC,Portable Toilet - For Demolition,LS,0.0,0.0,167.95,01-52-19
1166,8,1248-0052,1,A&B Tool Rentals Ltd,Light Tower for Security - June 25 to July 23 2018,LS,0.0,0.0,1131.0,01-51-26
1167,8,1248-0052,2,A&B Tool Rentals Ltd,Diesel for the Generator,LS,0.0,0.0,294.0,01-51-26
1170,8,1252-1-005,1,RLS Enterprises,Installation of both Kitchens and Staff room Appliances,LS,0.0,0.0,750.0,11-31-10
1172,8,1252-1-006,1,Accurate Aluminum Ltd,Two Panel Privacy Screen w/frosted glass,LS,0.0,0.0,1800.0,05-52-10
1175,8,1253-0001,3,Sumas Environmental Services,Sediment Control System,EA,1.0,0.0,0.0,31-25-12
1176,8,1253-0001,4,Sumas Environmental Services,Contaminated Treatment with Flow Meter and Data Logger,EA,1.0,0.0,0.0,31-25-12
1177,8,1253-0001,5,Sumas Environmental Services,pH Treatment System,EA,1.0,0.0,0.0,31-25-12
1178,8,1253-0001,6,Sumas Environmental Services,Coag/Flocc,EA,1.0,0.0,0.0,31-25-12
1179,8,1253-0001,7,Sumas Environmental Services,Virgin Activiated Carbon,EA,1.0,0.0,0.0,31-25-12
1180,8,1253-0001,8,Sumas Environmental Services,CO2 Cylinder Rental,EA,1.0,0.0,0.0,31-25-12
1181,8,1253-0001,9,Sumas Environmental Services,CO2 Cylinder 240L,EA,1.0,0.0,0.0,31-25-12
1182,8,1253-0001,10,Sumas Environmental Services,Water Treatment Technician,EA,1.0,0.0,0.0,31-25-12
1183,8,1253-0001,11,Sumas Environmental Services,Vacuum Truck,EA,1.0,0.0,0.0,31-25-12
1184,8,1253-0001,12,Sumas Environmental Services,Vacuum Truck Non-Contaminated Disposal,EA,1.0,0.0,0.0,31-25-12
1185,8,1253-0001,13,Sumas Environmental Services,Vacuum Truck Contaminated Disposal,EA,1.0,0.0,0.0,31-25-12
1186,8,1253-0002,1,Underhill Geomatics Ltd, CONSTRUCTION SURVEYING ,EA,0.0,0.0,0.0,01-71-23
1188,8,1253-0003,2,ATCO Structures & Logistics,METAL ADJUSTABLE STAIRS AND LANDING,MOS,1.0,32.0,32.0,01-52-13
1189,8,1253-0003,3,ATCO Structures & Logistics,PROPERTY INSURANCE REQUIREMENT WAIVER,MOS,1.0,43.0,43.0,01-52-13
1192,8,1253-0003,6,ATCO Structures & Logistics,SET STAIRS AND LANDINGS,EA,1.0,30.0,30.0,01-52-13
1193,8,1253-0003,7,ATCO Structures & Logistics,DISMANTLE STAIRS AND LANDINGS,EA,1.0,30.0,30.0,01-52-13
1194,8,1253-0004,1,Embers Staffing Solutions,TCP personnel (One person) ,HRS,4.0,28.95,115.8,1/30/1931
1195,8,1253-0005,1,Natin General Construction Ltd.,CARPENTER,HRS,4.0,30.0,120.0,1/30/1930
1196,8,1253-0006,1,Eagle West Cranes,Concrete/Jersey Barrier crane Pick up and Placement,HRS,1.0,155.0,155.0,01-54-19
1198,8,1253-0007,2,Amerisis Lighting Corp.,re-cycle fee,LS,0.0,0.0,204.15,26-51-14
1202,8,1253-0008,1,Tucuvan Construction Ltd - DO NOT USE,carpenter helper (2 GUYS / 8hr etch),HRS,16.0,37.0,592.0,1/30/1930
1203,8,1253-0009,1,Standard Building Supplies Ltd.,"Traffic Cone W/Base 42""  Delineator Post 1 ",EA,10.0,21.25,212.5,01-52-23
1204,8,1253-0009,2,Standard Building Supplies Ltd.,Traffic Sign Stop/Slow ,EA,1.0,53.75,53.75,01-52-23
1205,8,1253-0009,3,Standard Building Supplies Ltd.,"Broom Push Rgh Surface   Red/Blk 24"" 3",EA,2.0,50.26,100.52,01-52-23
1206,8,1253-0009,4,Standard Building Supplies Ltd.,Broom Quickier W/Pan Small Model72750 4,EA,1.0,13.69,13.69,01-52-23
1207,8,1253-0009,5,Standard Building Supplies Ltd.,shovel Sq/M F/G L/Hndl   Trupro 5,EA,1.0,26.89,26.89,01-52-23
1208,8,1253-0009,6,Standard Building Supplies Ltd.,Hose Water 5/8X50'       Flexogen ,EA,2.0,51.49,102.98,01-52-23
1209,8,1253-0009,7,Standard Building Supplies Ltd.,Handle Mop Set,EA,1.0,25.66,25.66,01-52-23
1210,8,1253-0009,8,Standard Building Supplies Ltd.,Cleaner Pinesol 800ml,EA,1.0,3.39,3.39,01-52-23
1211,8,1253-0009,9,Standard Building Supplies Ltd.,nozzle Water 7 Pattern W/Grip Newline 9,EA,2.0,10.59,21.18,01-52-23
1212,8,1253-0009,10,Standard Building Supplies Ltd.,Delivery Charge ,EA,1.0,59.0,59.0,01-52-23
1213,8,1253-0010,1,Star Rentals,Ladder - 32' ExtensioN,MOS,1.0,136.5,136.5,01-52-23
1214,8,1253-0010,2,Star Rentals,ENVIROFEE,EA,1.0,0.5,0.5,01-52-23
1215,8,1253-0011,1,Skyline Scaffold Ltd.,SCAFFOLDING   QUOTE# 3141-REV1,EA,1.0,0.0,0.0,01-56-30
1216,8,1253-0011,2,Skyline Scaffold Ltd.,Emergency Evac Stair   quote # 3399,EA,1.0,0.0,0.0,01-56-30
1217,8,1253-0012,1,Super Save Fence Rentals Inc,FENCE RENTAL,LFM,1.0,0.35,0.35,01-56-26
1218,8,1253-0012,2,Super Save Fence Rentals Inc,CLAMP RENTAL,LFM,1.0,2.0,2.0,01-56-26
1227,8,1253-0015,2,Hilti Canada Corp,Cordless Compact Drill,EA,1.0,167.27,167.27,01-52-25
1232,8,1253-0015,7,Hilti Canada Corp,Battery Pack,EA,2.0,100.0,200.0,01-52-25
1233,8,1253-0015,8,Hilti Canada Corp,Battery Charger,EA,1.0,45.0,45.0,01-52-25
1234,8,1253-0015,9,Hilti Canada Corp,Large Soft Bag,EA,1.0,50.0,50.0,01-52-25
1235,8,1253-0016,1,Pit Stop Portable Toilet Service Ltd BC,Portable Toilet Unit - Flyable,EA,1.0,0.0,0.0,01-52-19
1236,8,1253-0016,2,Pit Stop Portable Toilet Service Ltd BC,Delivery,EA,1.0,41.56,41.56,01-52-19
1237,8,1253-0016,3,Pit Stop Portable Toilet Service Ltd BC,Hand Sanitizer  Bag,EA,1.0,15.0,15.0,01-52-19
1238,8,1253-0016,4,Pit Stop Portable Toilet Service Ltd BC,Servicing  4 times Monthly,EA,4.0,22.86,91.44,01-52-19
1239,8,1253-0017,1,Advanced Mobile First Aid & Safety Inc.,"FA-0152 DuPont Tyvek Fitted Sheet  White  39"" x 84""1",EA,1.0,9.75,9.75,01-52-17
1242,8,1253-0017,4,Advanced Mobile First Aid & Safety Inc.,FA-0256 Wool Blankets w/ Carry Bag (3/Pack,EA,1.0,70.26,70.26,01-52-17
1243,8,1253-0017,5,Advanced Mobile First Aid & Safety Inc.,MW-0004 Service - Sharps Container  Empty 4.5L1 ,EA,1.0,18.9,18.9,01-52-17
1244,8,1253-0017,6,Advanced Mobile First Aid & Safety Inc.,MW-0007 Medical Waste Tongs  Extended (Economy) 1 ,EA,1.0,8.93,8.93,01-52-17
1246,8,1253-0017,8,Advanced Mobile First Aid & Safety Inc.,WH-0026 Workhorse EP1012CBK Clear Lens 1,EA,12.0,2.95,35.4,01-52-17
1247,8,1253-0017,9,Advanced Mobile First Aid & Safety Inc.,HR-0003  Howard Leight LL-1 Laser Lite Earplugs,EA,1.0,21.71,21.71,01-52-17
1248,8,1253-0017,10,Advanced Mobile First Aid & Safety Inc.,"MM-0006 Danger Tape ""Do Not Enter""  Red/Black  3"" ",EA,1.0,7.95,7.95,01-52-17
1249,8,1253-0017,11,Advanced Mobile First Aid & Safety Inc.,"MM-0005 Caution Tape  Yellow  3""1 ",EA,1.0,7.95,7.95,01-52-17
1250,8,1253-0017,12,Advanced Mobile First Aid & Safety Inc.,GL-0124-09 Viking 73376 Nitri-Dex Work Gloves,EA,5.0,2.95,14.75,01-52-17
1253,8,1253-0018,2,Cascade Raider Holdings Ltd - DO NOT USE,999-PILLOW,EA,1.0,5.3385,5.34,01-52-17
1254,8,1253-0018,3,Cascade Raider Holdings Ltd - DO NOT USE,76-B30 PILLOW CASE,EA,1.0,3.6154,3.62,01-52-17
1255,8,1253-0018,4,Cascade Raider Holdings Ltd - DO NOT USE,RS-FAKBC1BN687  FAK LEVEL 1,EA,1.0,45.2,45.2,01-52-17
1256,8,1253-0018,5,Cascade Raider Holdings Ltd - DO NOT USE,RS-FAKBC23BN687 FAK LEVEL 2,EA,1.0,90.0,90.0,01-52-17
1257,8,1253-0018,6,Cascade Raider Holdings Ltd - DO NOT USE,"RSM-SSP-16-HIP-BC 16""STOP & SLOW",EA,1.0,40.4,40.4,01-52-17
1258,8,1253-0018,7,Cascade Raider Holdings Ltd - DO NOT USE,DSI-HP241R/44 HARD HAT,EA,1.0,12.0667,12.07,01-52-17
1259,8,1253-0018,8,Cascade Raider Holdings Ltd - DO NOT USE,238-141 HIGH VIS ARM BAND,EA,2.0,3.1538,6.31,01-52-17
1260,8,1253-0018,9,Cascade Raider Holdings Ltd - DO NOT USE,238-143 HIGH VIS ANKLE BAND,EA,2.0,3.2308,6.46,01-52-17
1261,8,1253-0019,1,Standard Building Supplies Ltd.,"Shovel R/M Long Hndl 48"" Truper 1 ",EA,2.0,15.59,31.18,01-52-23
1262,8,1253-0019,2,Standard Building Supplies Ltd.,Pry Bar Burke    / Yellow ,EA,1.0,65.05,65.05,01-52-23
1263,8,1253-0019,3,Standard Building Supplies Ltd.,"Chain 3/8"" Zinc  6PCS @4'",LF,24.0,2.56,61.44,01-52-23
1264,8,1253-0019,4,Standard Building Supplies Ltd.,"Padlock 1-1/2"" Long",EA,6.0,9.43,56.58,01-52-23
1265,8,1253-0019,5,Standard Building Supplies Ltd.,Paint Spray Banner Red   340 Krylon ,EA,2.0,7.45,14.9,01-52-23
1266,8,1253-0019,6,Standard Building Supplies Ltd.,Eco Fee Paint Aerosol (for 377101) ,EA,1.0,0.5,0.5,01-52-23
1267,8,1253-0019,7,Standard Building Supplies Ltd.,Paint Spray Fluor Ora     Invert ,EA,6.0,4.68,28.08,01-52-13
1268,8,1253-0019,8,Standard Building Supplies Ltd.,Eco Fee Paint Aerosol (for 312093) ,EA,1.0,1.5,1.5,01-52-23
1269,8,1253-0019,9,Standard Building Supplies Ltd.,Cord Set 12/3X50' Sjtw   Yellow ,EA,3.0,39.52,118.56,01-52-13
1270,8,1253-0019,10,Standard Building Supplies Ltd.,Cord Set Contractor 12/3 50' Triple Tap ,EA,3.0,36.47,109.41,01-52-23
1271,8,1253-0019,11,Standard Building Supplies Ltd.,Hose Water 5/8X100       Flexogen ,EA,1.0,70.79,70.79,01-52-23
