Company #,Purchase Order,Item,Vendor,Description,Unit of Measure,Units,Unit Cost,Cost,Cost Code
10,1224-CPO-074,6,Ocean Concrete,Polarcon Accelerating - Bronze,m3,20.8,7,145.6,03-31-42
10,1224-CPO-075,1,Ocean Concrete,Footings,m3,10.4,144,1497.6,03-31-40
10,1224-CPO-075,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,10.4,7,72.8,03-31-40
10,1224-CPO-075,3,Ocean Concrete,Environmental and Carbon Levy,m3,10.4,7,72.8,03-31-40
10,1224-CPO-075,4,Ocean Concrete,FlowCrete - 110mm Slump Enhancement,m3,10.4,6,62.4,03-31-40
10,1224-CPO-076,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,12.4,188,2331.2,03-31-41
10,1224-CPO-076,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,12.4,7,86.8,03-31-41
10,1224-CPO-076,3,Ocean Concrete,Environmental and Carbon Levy,m3,12.4,7,86.8,03-31-41
10,1224-CPO-077,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,7.4,188,1391.2,03-31-41
10,1224-CPO-077,2,Ocean Concrete,Environmental and Carbon Levy,m3,7.4,7,51.8,03-31-41
10,1224-CPO-078,1,Ocean Concrete,Footings,m3,6,144,864,03-31-40
10,1224-CPO-078,2,Ocean Concrete,Environmental and Carbon Levy,m3,6,7,42,03-31-40
10,1224-CPO-078,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,6,8,48,03-31-40
10,1224-CPO-079,1,Ocean Concrete,Footings,m3,10.4,144,1497.6,03-31-40
10,1224-CPO-079,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,10.4,7,72.8,03-31-40
10,1224-CPO-079,3,Ocean Concrete,Environmental and Carbon Levy,m3,10.4,7,72.8,03-31-40
10,1224-CPO-079,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,4.4,25,110,03-31-40
10,1224-CPO-079,5,Ocean Concrete,FlowCrete - 110mm Slump Enhancement,m3,10.4,6,62.4,03-31-40
10,1224-CPO-080,1,Ocean Concrete,Footings,m3,31.2,144,4492.8,03-31-40
10,1224-CPO-080,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,31.2,7,218.4,03-31-40
10,1224-CPO-080,3,Ocean Concrete,Environmental and Carbon Levy,m3,31.2,7,218.4,03-31-40
10,1224-CPO-080,4,Ocean Concrete,FlowCrete - 110mm Slump Enhancement,m3,31.2,6,187.2,03-31-40
10,1224-CPO-081,1,Ocean Concrete,Int. Shearwalls - Top of Footing to the U/S of Level 22,m3,9.6,179,1718.4,03-31-41
10,1224-CPO-081,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-082,1,Ocean Concrete,Alternate Mix #5 - Suspended Parking and Roadway Slabs,m3,150,180,27000,03-31-42
10,1224-CPO-082,2,Ocean Concrete,Environmental and Carbon Levy,m3,150,7,1050,03-31-42
10,1224-CPO-082,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,150,2,300,03-31-42
10,1224-CPO-082,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,9,25,225,03-31-42
10,1224-CPO-083,1,Ocean Concrete,Lock-block for Backfill,LS,0,0,300,03-31-26
10,1224-CPO-084,1,Ocean Concrete,Footings,m3,6,144,864,03-31-40
10,1224-CPO-084,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,6,7,42,03-31-40
10,1224-CPO-084,3,Ocean Concrete,Environmental and Carbon Levy,m3,6,7,42,03-31-40
10,1224-CPO-084,4,Ocean Concrete,FlowCrete - 110mm Slump Enhancement,m3,6,6,36,03-31-40
10,1224-CPO-084,5,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2.6,25,65,03-31-40
10,1224-CPO-085,1,Ocean Concrete,Int. Columns - Lv. 22 to U/S Lv. 32; Parking Column PC1-12,m3,4,161,644,03-31-41
10,1224-CPO-085,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,4,7,28,03-31-41
10,1224-CPO-085,3,Ocean Concrete,Environmental and Carbon Levy,m3,4,7,28,03-31-41
10,1224-CPO-086,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,9.6,188,1804.8,03-31-41
10,1224-CPO-086,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-087,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,4,188,752,03-31-41
10,1224-CPO-087,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,4,7,28,03-31-41
10,1224-CPO-087,3,Ocean Concrete,Environmental and Carbon Levy,m3,4,7,28,03-31-41
10,1224-CPO-088,1,Ocean Concrete,Int. Columns - Lv. 22 to U/S Lv. 32; Parking Column PC1-12,m3,4.4,161,708.4,03-31-41
10,1224-CPO-088,2,Ocean Concrete,Environmental and Carbon Levy,m3,4.4,7,30.8,03-31-41
10,1224-CPO-089,1,Ocean Concrete,Shotcrete,m3,40,202,8080,03-31-41
10,1224-CPO-089,2,Ocean Concrete,Environmental and Carbon Levy,m3,40,7,280,03-31-41
10,1224-CPO-089,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2.4,25,60,03-31-41
10,1224-CPO-090,1,Ocean Concrete,Footings,m3,8,144,1152,03-31-40
10,1224-CPO-090,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,8,7,56,03-31-40
10,1224-CPO-090,3,Ocean Concrete,Environmental and Carbon Levy,m3,8,7,56,03-31-40
10,1224-CPO-091,1,Ocean Concrete,Shotcrete,m3,39,202,7878,03-31-41
10,1224-CPO-091,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,39,7,273,03-31-41
10,1224-CPO-091,3,Ocean Concrete,Environmental and Carbon Levy,m3,39,7,273,03-31-41
10,1224-CPO-091,4,Ocean Concrete,Polarcon Accelerating - Bronze,m3,16,7,112,03-31-41
10,1224-CPO-091,5,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,4,25,100,03-31-41
10,1224-CPO-092,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,9.4,188,1767.2,03-31-41
10,1224-CPO-092,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,9.4,7,65.8,03-31-41
10,1224-CPO-092,3,Ocean Concrete,Environmental and Carbon Levy,m3,9.4,7,65.8,03-31-41
10,1224-CPO-093,1,Ocean Concrete,Shotcrete for 55 MPa Applications,m3,40,261,10440,03-31-41
10,1224-CPO-093,2,Ocean Concrete,Environmental and Carbon Levy,m3,40,7,280,03-31-41
10,1224-CPO-094,1,Ocean Concrete,Int. Columns - Lv. 22 to U/S Lv. 32; Parking Column PC1-12,m3,6,161,966,03-31-41
10,1224-CPO-094,2,Ocean Concrete,Winter Concrete Premium (November 1 to March 31),m3,6,7,42,03-31-41
10,1224-CPO-094,3,Ocean Concrete,Environmental and Carbon Levy,m3,6,7,42,03-31-41
10,1224-CPO-094,4,Ocean Concrete,FlowCrete - 110mm Slump Enhancement,m3,8,6,48,03-31-41
10,1224-CPO-094,5,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2.2,25,55,03-31-41
10,1224-CPO-095,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,53,150,7950,03-31-42
10,1224-CPO-095,2,Ocean Concrete,Environmental and Carbon Levy,m3,53,7,371,03-31-42
10,1224-CPO-095,3,Ocean Concrete,FlowCrete - 20mm Slump Enhancement,m3,53,2,106,03-31-42
10,1224-CPO-095,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,12,25,300,03-31-42
10,1224-CPO-096,1,Ocean Concrete,Alternate Mix #5 - Suspended Parking and Roadway Slabs,m3,22,180,3960,03-31-41
10,1224-CPO-096,2,Ocean Concrete,Environmental and Carbon Levy,m3,22,7,154,03-31-41
10,1224-CPO-096,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,22,2,44,03-31-41
10,1224-CPO-097,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,6,188,1128,03-31-41
10,1224-CPO-097,2,Ocean Concrete,Environmental and Carbon Levy,m3,6,7,42,03-31-41
10,1224-CPO-097,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2.4,25,60,03-31-41
10,1224-CPO-098,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,5.8,188,1090.4,03-31-41
10,1224-CPO-098,2,Ocean Concrete,Environmental and Carbon Levy,m3,5.8,7,40.6,03-31-41
10,1224-CPO-099,1,Ocean Concrete,Int. Shearwalls - Top of Footing to the U/S of Level 22,m3,28.8,179,5155.2,03-31-41
10,1224-CPO-099,2,Ocean Concrete,Environmental and Carbon Levy,m3,28.8,7,201.6,03-31-41
10,1224-CPO-099,3,Ocean Concrete,FlowCrete - 150mm Slump Enhancement,m3,28.8,2,57.6,03-31-41
10,1224-CPO-100,1,Ocean Concrete,Sidewalks  Slab on Grade Ramps and Parking Topping,m3,60,145,8700,03-31-42
10,1224-CPO-100,2,Ocean Concrete,Environmental and Carbon Levy,m3,60,7,420,03-31-42
10,1224-CPO-100,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,60,8,480,03-31-42
10,1224-CPO-100,4,Ocean Concrete,Polarcon Accelerating - Silver,m3,60,14,840,03-31-42
10,1224-CPO-100,5,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,3,25,75,03-31-42
10,1224-CPO-100,6,Ocean Concrete,HRWR Used on Truck,m3,16,6,96,03-31-42
10,1224-CPO-101,1,Ocean Concrete,Alternate Mix #5 - Suspended Parking and Roadway Slabs,m3,160,180,28800,03-31-42
10,1224-CPO-101,2,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,160,2,320,03-31-42
10,1224-CPO-101,3,Ocean Concrete,Environmental and Carbon Levy,m3,160,7,1120,03-31-42
10,1224-CPO-102,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,60,150,9000,03-31-42
10,1224-CPO-102,2,Ocean Concrete,Environmental and Carbon Levy,m3,60,7,420,03-31-42
10,1224-CPO-102,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,50,2,100,03-31-42
10,1224-CPO-102,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,10,25,250,03-31-42
10,1224-CPO-103,1,Ocean Concrete,Int. Shearwalls - Top of Footing to the U/S of Level 22,m3,38,179,6802,03-31-41
10,1224-CPO-103,2,Ocean Concrete,Environmental and Carbon Levy,m3,38,7,266,03-31-41
10,1224-CPO-103,3,Ocean Concrete,FlowCrete - 20mm Slump Enhancement,m3,38,2,76,03-31-41
10,1224-CPO-103,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,7,25,175,03-31-41
10,1224-CPO-104,1,Ocean Concrete,Alternate Mix #5 - Suspended Parking and Roadway Slabs,m3,166.4,180,29952,03-31-46
10,1224-CPO-104,2,Ocean Concrete,Environmental and Carbon Levy,m3,166.4,7,1164.8,03-31-46
10,1224-CPO-104,3,Ocean Concrete,FlowCrete - 20mm Slump Enhancement,m3,145.6,2,291.2,03-31-46
10,1224-CPO-104,4,Ocean Concrete,HRWR Used on Truck,EA,6,6,36,03-31-46
10,1224-CPO-105,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,60,150,9000,03-31-42
10,1224-CPO-105,2,Ocean Concrete,Environmental and Carbon Levy,m3,60,7,420,03-31-42
10,1224-CPO-105,3,Ocean Concrete,FlowCrete - 20mm Slump Enhancement,m3,60,2,120,03-31-42
10,1224-CPO-105,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,20,25,500,03-31-42
10,1224-CPO-105,5,Ocean Concrete,Delay Set,EA,3,20,60,03-31-42
10,1224-CPO-106,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,18.4,188,3459.2,03-31-41
10,1224-CPO-106,2,Ocean Concrete,Environmental and Carbon Levy,m3,18.4,7,128.8,03-31-41
10,1224-CPO-107,1,Ocean Concrete,Lock-block for Backfill - Cartage Charge,LS,0,0,225,03-31-26
10,1224-CPO-108,1,Ocean Concrete,Footings,m3,4,144,576,03-31-40
10,1224-CPO-108,2,Ocean Concrete,Environmental and Carbon Levy,m3,4,7,28,03-31-40
10,1224-CPO-108,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,4,8,32,03-31-40
10,1224-CPO-109,1,Ocean Concrete,Int. Shearwalls - Top of Footing to the U/S of Level 22,m3,9.4,179,1682.6,03-31-41
10,1224-CPO-109,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.4,7,65.8,03-31-41
10,1224-CPO-109,3,Ocean Concrete,FlowCrete - 20mm Slump Enhancement,m3,9.4,2,18.8,03-31-41
10,1224-CPO-109,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,4,25,100,03-31-41
10,1224-CPO-109,5,Ocean Concrete,Delay Set,EA,1,20,20,03-31-41
10,1224-CPO-110,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,9.6,188,1804.8,03-31-41
10,1224-CPO-110,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-111,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,6.8,188,1278.4,03-31-41
10,1224-CPO-111,2,Ocean Concrete,Environmental and Carbon Levy,m3,6.8,7,47.6,03-31-41
10,1224-CPO-112,1,Ocean Concrete,Interior Walls,m3,4.6,144,662.4,03-31-41
10,1224-CPO-112,2,Ocean Concrete,Environmental and Carbon Levy,m3,4.6,7,32.2,03-31-41
10,1224-CPO-112,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2,25,50,03-31-41
10,1224-CPO-112,4,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,4.6,8,36.8,03-31-41
10,1224-CPO-113,1,Ocean Concrete,WaterGuard w/ Kryton's KIM - Exterior Walls,m3,8.8,233,2050.4,03-31-41
10,1224-CPO-113,2,Ocean Concrete,Environmental and Carbon Levy,m3,8.8,7,61.6,03-31-41
10,1224-CPO-113,3,Ocean Concrete,FlowCrete - 110mm Slump Enhancement,m3,8.8,2,17.6,03-31-41
10,1224-CPO-113,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2.4,25,60,03-31-41
10,1224-CPO-114,1,Ocean Concrete,Alternate Mix #5 - Suspended Parking and Roadway Slabs,m3,16.6,180,2988,03-31-42
10,1224-CPO-114,2,Ocean Concrete,Environmental and Carbon Levy,m3,16.6,7,116.2,03-31-42
10,1224-CPO-114,3,Ocean Concrete,HRWR Used on Truck,EA,12,6,72,03-31-42
10,1224-CPO-115,1,Ocean Concrete,Shotcrete for 55 MPa Applications,m3,24,261,6264,03-31-41
10,1224-CPO-115,2,Ocean Concrete,Environmental and Carbon Levy,m3,24,7,168,03-31-41
10,1224-CPO-116,1,Ocean Concrete,Shotcrete,m3,35,202,7070,03-31-41
10,1224-CPO-116,2,Ocean Concrete,Environmental and Carbon Levy,m3,35,7,245,03-31-41
10,1224-CPO-116,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2.4,25,60,03-31-41
10,1224-CPO-116,4,Ocean Concrete,Overtime - Applies to 7:00am and after 5:00pm,HRS,0.3,70,21,03-31-41
10,1224-CPO-117,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,12.6,188,2368.8,03-31-41
10,1224-CPO-117,2,Ocean Concrete,Environmental and Carbon Levy,m3,12.6,7,88.2,03-31-41
10,1224-CPO-118,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,4.2,193,810.6,03-31-41
10,1224-CPO-118,2,Ocean Concrete,Environmental and Carbon Levy,m3,4.2,7,29.4,03-31-41
10,1224-CPO-119,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,3.6,188,676.8,03-31-41
10,1224-CPO-119,2,Ocean Concrete,Environmental and Carbon Levy,m3,3.6,7,25.2,03-31-41
10,1224-CPO-120,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,9.6,188,1804.8,03-31-41
10,1224-CPO-120,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-121,1,Ocean Concrete,Shotcrete,m3,40,261,10440,03-31-42
10,1224-CPO-121,2,Ocean Concrete,Environmental and Carbon Levy,m3,40,7,280,03-31-42
10,1224-CPO-122,1,Ocean Concrete,Shotcrete,m3,38,202,7676,03-31-41
10,1224-CPO-122,2,Ocean Concrete,Environmental and Carbon Levy,m3,38,7,266,03-31-41
10,1224-CPO-122,3,Ocean Concrete,Overtime - Applies to 7:00am and after 5:00pm,HRS,3.3,70,231,03-31-41
10,1224-CPO-122,4,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2,25,50,03-31-41
10,1224-CPO-123,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,180,150,27000,03-31-42
10,1224-CPO-123,2,Ocean Concrete,Environmental and Carbon Levy,m3,180,7,1260,03-31-42
10,1224-CPO-123,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,200,2,400,03-31-42
10,1224-CPO-124,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,8,188,1504,03-31-41
10,1224-CPO-124,2,Ocean Concrete,Environmental and Carbon Levy,m3,8,7,56,03-31-41
10,1224-CPO-124,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,4,25,100,03-31-41
10,1224-CPO-125,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,4.2,155,651,03-31-42
10,1224-CPO-125,2,Ocean Concrete,Environmental and Carbon Levy,m3,4.2,7,29.4,03-31-42
10,1224-CPO-125,3,Ocean Concrete,Polarcon Accelerating - Bronze,m3,4.2,7,29.4,03-31-42
10,1224-CPO-126,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,6.6,188,1240.8,03-31-41
10,1224-CPO-126,2,Ocean Concrete,Environmental and Carbon Levy,m3,6.6,7,46.2,03-31-41
10,1224-CPO-127,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,11.2,188,2105.6,03-31-41
10,1224-CPO-127,2,Ocean Concrete,Environmental and Carbon Levy,m3,11.2,7,78.4,03-31-41
10,1224-CPO-128,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,5.4,188,1015.2,03-31-41
10,1224-CPO-128,2,Ocean Concrete,Environmental and Carbon Levy,m3,5.4,7,37.8,03-31-41
10,1224-CPO-129,1,Ocean Concrete,Shotcrete with Kryton's KIM,m3,8,272,2176,03-31-41
10,1224-CPO-129,2,Ocean Concrete,Environmental and Carbon Levy,m3,8,7,56,03-31-41
10,1224-CPO-129,3,Ocean Concrete,Polarcon Accelerating - Bronze,m3,8,7,56,03-31-41
10,1224-CPO-130,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,60,150,9000,03-31-42
10,1224-CPO-130,2,Ocean Concrete,Environmental and Carbon Levy,m3,60,7,420,03-31-42
10,1224-CPO-130,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,60,2,120,03-31-42
10,1224-CPO-131,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,4.2,155,651,03-31-42
10,1224-CPO-131,2,Ocean Concrete,Environmental and Carbon Levy,m3,4.2,7,29.4,03-31-42
10,1224-CPO-131,3,Ocean Concrete,Polarcon Accelerating - Bronze,m3,4.2,7,29.4,03-31-42
10,1224-CPO-132,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,15.2,188,2857.6,03-31-41
10,1224-CPO-132,2,Ocean Concrete,Environmental and Carbon Levy,m3,15.2,7,106.4,03-31-41
10,1224-CPO-133,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,8,193,1544,03-31-41
10,1224-CPO-133,2,Ocean Concrete,Environmental and Carbon Levy,m3,8,7,56,03-31-41
10,1224-CPO-134,1,Ocean Concrete,Shotcrete,m3,9.6,233,2236.8,03-31-41
10,1224-CPO-134,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-134,3,Ocean Concrete,FlowCrete - 20mm Slump Enhancement,m3,9.6,2,19.2,03-31-41
10,1224-CPO-135,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams,m3,9,159,1431,03-31-42
10,1224-CPO-135,2,Ocean Concrete,Environmental and Carbon Levy,m3,9,7,63,03-31-42
10,1224-CPO-136,1,Ocean Concrete,Shotcrete,m3,24,202,4848,03-31-41
10,1224-CPO-136,2,Ocean Concrete,Environmental and Carbon Levy,m3,24,7,168,03-31-41
10,1224-CPO-136,3,Ocean Concrete,SolarGuard60 - set time delay & slump retention - 60 minutes,m3,8,6,48,03-31-41
10,1224-CPO-137,1,Ocean Concrete,Shotcrete,m3,45,202,9090,03-31-41
10,1224-CPO-137,2,Ocean Concrete,Environmental and Carbon Levy,m3,45,7,315,03-31-41
10,1224-CPO-137,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2,25,50,03-31-41
10,1224-CPO-138,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,9.6,193,1852.8,03-31-41
10,1224-CPO-138,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-139,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,6.8,155,1054,03-31-42
10,1224-CPO-139,2,Ocean Concrete,Environmental and Carbon Levy,m3,6.8,7,47.6,03-31-42
10,1224-CPO-139,3,Ocean Concrete,Polarcon Accelerating - Bronze,m3,6.8,7,47.6,03-31-42
10,1224-CPO-140,1,Ocean Concrete,Int. Columns - Lv. 22 to U/S Lv. 32; Parking Column PC1-12,m3,13.8,161,2221.8,03-31-41
10,1224-CPO-140,2,Ocean Concrete,Environmental and Carbon Levy,m3,13.8,7,96.6,03-31-41
10,1224-CPO-140,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,12,6,72,03-31-41
10,1224-CPO-141,1,Ocean Concrete,Shotcrete for 55 MPa Applications,m3,40,261,10440,03-31-41
10,1224-CPO-141,2,Ocean Concrete,Environmental and Carbon Levy,m3,40,7,280,03-31-41
10,1224-CPO-141,3,Ocean Concrete,Delay Set,EA,2,20,40,03-31-41
10,1224-CPO-141,4,Ocean Concrete,SolarGuard60 - set time delay & slump retention - 60 minutes,m3,24,6,144,03-31-41
10,1224-CPO-142,1,Ocean Concrete,Shotcrete,m3,29,202,5858,03-31-41
10,1224-CPO-142,2,Ocean Concrete,Environmental and Carbon Levy,m3,29,7,203,03-31-41
10,1224-CPO-142,3,Ocean Concrete,SolarGuard60 - set time delay & slump retention - 60 minutes,m3,21,6,126,03-31-41
10,1224-CPO-143,1,Ocean Concrete,Int. Shearwalls - Top of Footing to the U/S of Level 22,m3,30,179,5370,03-31-41
10,1224-CPO-143,2,Ocean Concrete,Environmental and Carbon Levy,m3,30,7,210,03-31-41
10,1224-CPO-144,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,9.6,188,1804.8,03-31-41
10,1224-CPO-144,2,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-144,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,3.2,25,80,03-31-41
10,1224-CPO-145,1,Ocean Concrete,Alternate Mix #5 - Suspended Parking and Roadway Slabs,m3,160,180,28800,03-31-42
10,1224-CPO-145,2,Ocean Concrete,Environmental and Carbon Levy,m3,160,7,1120,03-31-42
10,1224-CPO-145,3,Ocean Concrete,FlowCrete - 130mm Slump Enhancement,m3,160,2,320,03-31-42
10,1224-CPO-146,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,60,150,9000,03-31-42
10,1224-CPO-146,2,Ocean Concrete,Environmental and Carbon Levy,m3,60,7,420,03-31-42
10,1224-CPO-146,3,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,9.6,188,1804.8,03-31-41
10,1224-CPO-146,4,Ocean Concrete,Environmental and Carbon Levy,m3,9.6,7,67.2,03-31-41
10,1224-CPO-146,5,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2,25,50,03-31-41
10,1224-CPO-147,1,Ocean Concrete,Slabs and Beams; Interior UNO,m3,210,173,36330,03-31-44
10,1224-CPO-147,2,Ocean Concrete,Environmental and Carbon Levy,m3,210,7,1470,03-31-44
10,1224-CPO-148,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,4.8,188,902.4,03-31-41
10,1224-CPO-148,2,Ocean Concrete,Environmental and Carbon Levy,m3,4.8,7,33.6,03-31-41
10,1224-CPO-149,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,6.4,193,1235.2,03-31-41
10,1224-CPO-149,2,Ocean Concrete,Environmental and Carbon Levy,m3,6.4,7,44.8,03-31-41
10,1224-CPO-149,3,Ocean Concrete,Fuel Surcharge  $1.00/L to $1.20/L,LDS,1,5,5,03-31-41
10,1224-CPO-150,1,Ocean Concrete,Int. Shearwalls - Top of Footing to the U/S of Level 22,m3,10.4,179,1861.6,03-31-41
10,1224-CPO-150,2,Ocean Concrete,Environmental and Carbon Levy,m3,10.4,7,72.8,03-31-41
10,1224-CPO-151,1,Ocean Concrete,Shotcrete for 55 MPa Applications,m3,48,261,12528,03-31-41
10,1224-CPO-151,2,Ocean Concrete,Environmental and Carbon Levy,m3,48,7,336,03-31-41
10,1224-CPO-151,3,Ocean Concrete,SolarGuard60 - set time delay & slump retention - 60 minutes,m3,32,6,192,03-31-41
10,1224-CPO-152,1,Ocean Concrete,Shotcrete,m3,4,202,808,03-31-41
10,1224-CPO-152,2,Ocean Concrete,Environmental and Carbon Levy,m3,4,7,28,03-31-41
10,1224-CPO-152,3,Ocean Concrete,SolarGuard60 - set time delay & slump retention - 60 minutes,m3,4,6,24,03-31-41
10,1224-CPO-153,1,Ocean Concrete,Suspended Parking and Roadway Slabs and Beams - Alt. Mix #5,m3,3.6,155,558,03-31-42
10,1224-CPO-153,2,Ocean Concrete,Environmental and Carbon Levy,m3,3.6,7,25.2,03-31-42
10,1224-CPO-153,3,Ocean Concrete,Polarcon Accelerating - Bronze,m3,3.6,7,25.2,03-31-42
10,1224-CPO-154,1,Ocean Concrete,Int. Columns Lv. 1 to U/S of Lv. 12; Parking Columns PTC1-9,m3,14.2,188,2669.6,03-31-41
10,1224-CPO-154,2,Ocean Concrete,Environmental and Carbon Levy,m3,14.2,7,99.4,03-31-41
10,1224-CPO-154,3,Ocean Concrete,Return Concrete Premium (over 2 m3),m3,2,25,50,03-31-41
